County,Solds,Ave List Price,Ave Sold Price,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number,Unnamed: 3
Mcduffie,2.0,"$247,450","$243,500",,,,,,,,,
Mcintosh,6.0,"$603,403","$557,587",,,,,,,,,
Meriwether,15.0,"$287,629","$282,781",,,,,,,,,
Mitchell,0.0,$0,$0,,,,,,,,,
Monroe,20.0,"$367,574","$362,454",,,,,,,,,
Montgomery,1.0,"$279,900","$279,900",,,,,,,,,
Morgan,12.0,"$568,108","$545,333",,,,,,,,,
Murray,0.0,$0,$0,,,,,,,,,
Muscogee,29.0,"$233,298","$234,617",,,,,,,,,
NC Counties,10.0,"$471,730","$445,990",,,,,,,,,
Newton,86.0,"$352,787","$343,932",,,,,,,,,
Oconee,17.0,"$489,591","$484,724",,,,,,,,,
Oglethorpe,14.0,"$349,900","$344,214",,,,,,,,,
Paulding,136.0,"$375,319","$369,422",,,,,,,,,
Peach,13.0,"$244,392","$240,400",,,,,,,,,
Pickens,28.0,"$565,625","$523,338",,,,,,,,,
Pierce,1.0,"$169,000","$166,000",,,,,,,,,
Pike,9.0,"$455,457","$450,949",,,,,,,,,
Polk,28.0,"$231,824","$225,260",,,,,,,,,
Pulaski,0.0,$0,$0,,,,,,,,,
Putnam,14.0,"$766,424","$704,142",,,,,,,,,
Quitman,0.0,$0,$0,,,,,,,,,
Rabun,26.0,"$692,323","$646,404",,,,,,,,,
Randolph,3.0,"$371,667","$372,833",,,,,,,,,
Randolph (AL),2.0,"$167,500","$167,500",,,,,,,,,
Richmond,6.0,"$269,667","$270,917",,,,,,,,,
Rockdale,80.0,"$357,168","$350,974",,,,,,,,,
Russell (AL),1.0,"$475,000","$475,000",,,,,,,,,
Sc Counties,8.0,"$830,200","$785,413",,,,,,,,,
Schley,2.0,"$1,242,500","$1,168,500",,,,,,,,,
